gene_id,sf1,sf2,sf3,sl1,sl2,sl3
PEQU_24787,42,98,80,114,168,136
PEQU_24786,0,0,0,3,1,0
PEQU_24781,3131,1142,2167,5872,8327,5761
PEQU_24780,0,7,0,0,5,0
PEQU_24783,351,437,362,1038,1135,1073
PEQU_24782,1797,2052,1335,1824,1835,1734
PEQU_24789,0,0,0,0,0,0
PEQU_24788,0,0,0,0,0,0
PEQU_24436,0,0,0,0,0,0
PEQU_24435,0,0,0,0,0,0
PEQU_33720,0,0,0,0,0,0
PEQU_24431,0,0,0,0,0,0
PEQU_33724,0,0,0,0,0,0
PEQU_26462,44,47,18,27,12,15
PEQU_14822,4,0,11,0,5,0
PEQU_14821,94,110,102,216,288,153
PEQU_26461,0,0,0,0,0,0
PEQU_26466,0,9,4,1900,2417,1841
PEQU_26467,459,469,322,488,464,468
